problem_number, time_solved_us, solved_timestamp
2.0,0.0,Wed Jul  4 12:00:00 2023
1.0,1000.0,Wed Jul  4 12:00:00 2023
3.0,32000.0,Wed Jul  4 12:00:00 2023
4.0,62000.0,Wed Jul  5 12:00:00 2023
5.0,0.0, Wed Jul  5 12:00:00 2023
6.0,0.0,Wed Jul  5 12:00:00 2023
7.0,31000.0,Wed Jul  5 12:00:00 2023
8.0,0.0,Wed Jul  5 12:00:00 2023
9.0,0.0,Wed Jul  5 12:00:00 2023
10.0,31000.0,Wed Jul  5 12:27:09 2023
11.0,0.0,Wed Jul  5 12:46:41 2023
12.0,109000.0,Wed Jul  5 13:50:14 2023
13.0,16000.0,Wed Jul  5 14:42:31 2023
14.0,688000.0,Wed Jul  5 14:52:17 2023
15.0,16000.0,Wed Jul  5 14:58:56 2023
16.0,0.0,Wed Jul  5 15:06:31 2023
17.0,0.0,Wed Jul  5 15:38:27 2023
18.0,0.0,Wed Jul  5 20:38:16 2023
19.0,0.0,Wed Jul  5 20:50:50 2023
20.0,0.0,Wed Jul  5 20:52:22 2023
21.0,0.0,Wed Jul  5 20:59:57 2023
22.0,0.0,Wed Jul  5 21:05:22 2023
23.0,844000.0,Wed Jul  5 22:17:28 2023
24.0,15000.0,Wed Jul  5 22:40:05 2023
25.0,0.0,Wed Jul  5 22:58:42 2023
26.0,406000.0,Thu Jul  6 13:14:09 2023
27.0,313000.0,Thu Jul  6 13:37:49 2023
28.0,0.0,Thu Jul  6 13:54:48 2023
29.0,16000.0,Thu Jul  6 13:57:48 2023
30.0,281000.0,Thu Jul  6 14:07:51 2023
31.0,0.0,Thu Jul  6 14:42:39 2023
32.0,16000.0,Thu Jul  6 15:16:24 2023
33.0,0.0,Thu Jul  6 15:38:35 2023
34.0,8641000.0,Thu Jul  6 15:52:31 2023
35.0,47000.0,Sat Jul  8 01:00:48 2023
36.0,78000.0,Sat Jul  8 15:01:45 2023
37.0,94000.0,Sat Jul  8 15:16:04 2023
38.0,0.0,Sat Jul  8 18:36:51 2023
39.0,15000.0,Sat Jul  8 19:41:42 2023
40.0,0.0,Sat Jul  8 20:05:58 2023
41.0,0.0,Sun Jul  9 09:00:52 2023
42.0,16000.0,Sun Jul  9 09:32:26 2023
43.0,5453000.0,Sun Jul  9 18:42:31 2023
44.0,172000.0,Sun Jul  9 19:36:56 2023
45.0,15000.0,Sun Jul  9 21:49:43 2023
46.0,15000.0,Sun Jul  9 22:13:40 2023
47.0,1313000.0,Sun Jul  9 22:54:48 2023
48.0,15000.0,Sun Jul  9 22:57:02 2023
49.0,16000.0,Sun Jul  9 23:32:57 2023
50.0,391000.0,Mon Jul 10 09:29:21 2023
51.0,9265000.0,Mon Jul 10 10:57:34 2023
52.0,188000.0,Mon Jul 10 11:19:03 2023
53.0,0.0,Mon Jul 10 23:14:45 2023
54.0,15000.0,Tue Jul 11 22:08:43 2023
55.0,31000.0,Tue Jul 11 23:21:13 2023
56.0,0.0,Wed Jul 12 02:59:43 2023
57.0,0.0,Thu Jul 13 23:05:06 2023
58.0,18094000.0,Thu Jul 13 23:30:23 2023
59.0,2735000.0,Fri Jul 14 00:02:32 2023
60.0,20844000.0,Sat Jul 15 20:31:23 2023
61.0,15000.0,Sun Jul 16 14:47:40 2023
62.0,31000.0,Sun Jul 16 15:27:24 2023
63.0,0.0,Sun Jul 16 15:32:55 2023
64.0,1781000.0,Sun Jul 16 21:18:36 2023
65.0,16000.0,Sun Jul 16 22:07:50 2023
66.0,265000.0,Mon Jul 17 11:36:24 2023
67.0,0.0,Mon Jul 17 11:52:33 2023
68.0,437000.0,Mon Jul 17 19:36:13 2023
69.0,750000.0,Tue Jul 18 00:11:15 2023
70.0,797000.0,Tue Jul 18 09:04:03 2023
71.0,157000.0,Wed Jul 19 08:55:27 2023
72.0,328000.0,Wed Jul 19 10:58:06 2023
73.0,2000000.0,Wed Jul 19 11:43:46 2023
74.0,1125000.0,Wed Jul 19 14:43:48 2023
75.0,2000000.0,Sun Jul 30 21:43:15 2023
76.0,31000.0,Mon Jul 31 10:17:10 2023
